a,p
15,0
22,0
13,0
14,0
13,0
13,0
13,0
11,0
12,0
12,0
13,0
13,0
14,0
14,0
14,0
13,0
12,0
11,0
11,0
11,0
8,0
12,0
10,0
12,0
13,0
13,0
13,0
12,0
12,0
11,0
11,0
10,0
12,0
14,0
14,0
14,0
14,0
13,0
13,0
12,0
12,0
12,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
13,0
12,0
12,0
12,0
13,0
12,0
12,0
13,0
12,0
12,0
12,0
11,0
12,0
12,0
13,0
13,0
13,0
12,0
12,0
12,0
12,0
12,0
13,0
12,0
13,0
14,0
14,0
14,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
14,0
14,0
13,0
12,0
12,0
12,0
12,0
13,0
13,0
14,0
14,0
14,0
12,0
12,0
12,0
12,0
12,0
12,0
14,0
13,0
14,0
12,0
12,0
12,0
13,0
12,0
12,0
12,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
14,0
13,0
13,0
13,0
12,0
13,0
13,0
12,0
12,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
12,0
12,0
12,0
13,0
13,0
14,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
12,0
12,0
12,0
14,0
13,0
12,0
12,0
12,0
11,0
12,0
12,0
13,0
13,0
12,0
12,0
12,0
13,0
13,0
13,0
13,0
14,0
12,0
13,0
12,0
12,0
13,0
13,0
12,0
13,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
11,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
12,0
12,0
12,0
14,0
13,0
12,0
12,0
12,0
12,0
13,0
13,0
14,0
14,0
14,0
13,0
12,0
12,0
12,0
12,0
12,0
13,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
11,0
12,0
13,0
13,0
14,0
14,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
14,0
13,0
12,0
13,0
12,0
12,0
13,0
14,0
14,0
14,0
13,0
12,0
12,0
11,0
9,0
10,0
7,0
7,0
5,0
3,0
4,0
16,0
10,0
2,0
2,0
2,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
2,0
2,0
31,0
102,44
79,0
267,64
164,0
68,0
85,13
31,0
16,0
9,0
5,0
3,0
3,0
3,0
3,0
5,0
9,0
12,0
17,0
25,0
39,0
48,0
26,0
12,0
5,0
3,0
5,0
10,0
15,0
16,0
10,0
12,0
12,0
11,0
13,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
11,0
12,0
11,0
11,0
12,0
13,0
12,0
12,0
12,0
12,0
12,0
13,0
12,0
13,0
12,0
11,0
12,0
11,0
12,0
11,0
11,0
13,0
12,0
11,0
12,0
11,0
11,0
13,0
11,0
13,0
11,0
12,0
11,0
12,0
12,0
13,0
11,0
11,0
12,0
12,0
11,0
11,0
11,0
11,0
13,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
12,0
12,0
13,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
11,0
11,0
12,0
11,0
12,0
13,0
12,0
11,0
11,0
11,0
13,0
13,0
13,0
13,0
12,0
11,0
12,0
12,0
12,0
11,0
12,0
11,0
11,0
12,0
12,0
12,0
11,0
11,0
12,0
11,0
13,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
11,0
11,0
13,0
13,0
12,0
12,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
13,0
12,0
11,0
11,0
12,0
11,0
13,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
13,0
12,0
13,0
12,0
11,0
11,0
12,0
11,0
11,0
12,0
11,0
11,0
11,0
12,0
12,0
13,0
11,0
12,0
12,0
12,0
11,0
12,0
12,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
12,0
12,0
11,0
11,0
12,0
12,0
12,0
12,0
11,0
12,0
11,0
13,0
11,0
13,0
11,0
12,0
12,0
14,0
12,0
11,0
13,0
12,0
11,0
11,0
11,0
12,0
12,0
12,0
11,0
11,0
12,0
11,0
12,0
11,0
12,0
11,0
11,0
11,0
13,0
11,0
11,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
12,0
12,0
11,0
13,0
11,0
12,0
11,0
12,0
13,0
13,0
11,0
12,0
11,0
11,0
12,0
13,0
11,0
12,0
13,0
12,0
12,0
13,0
11,0
12,0
12,0
12,0
11,0
12,0
11,0
12,0
13,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
11,0
11,0
13,0
12,0
12,0
11,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
11,0
11,0
13,0
12,0
11,0
11,0
11,0
12,0
12,0
13,0
11,0
12,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
12,0
12,0
12,0
13,0
12,0
11,0
12,0
12,0
11,0
12,0
12,0
12,0
11,0
13,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
13,0
11,0
13,0
13,0
13,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
12,0
12,0
11,0
11,0
13,0
12,0
11,0
12,0
11,0
12,0
12,0
12,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
12,0
11,0
13,0
12,0
12,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
12,0
11,0
12,0
12,0
12,0
12,0
11,0
12,0
12,0
12,0
11,0
13,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
12,0
13,0
12,0
12,0
12,0
13,0
11,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
12,0
11,0
12,0
13,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
13,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
12,0
11,0
11,0
11,0
11,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
12,0
11,0
13,0
11,0
12,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
11,0
12,0
12,0
13,0
13,0
13,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
11,0
13,0
11,0
12,0
12,0
12,0
12,0
11,0
13,0
11,0
12,0
12,0
12,0
12,0
12,0
11,0
13,0
12,0
11,0
11,0
12,0
11,0
12,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
11,0
12,0
12,0
11,0
12,0
12,0
12,0
11,0
12,0
12,0
11,0
11,0
11,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
13,0
11,0
12,0
12,0
11,0
11,0
12,0
11,0
13,0
11,0
11,0
11,0
11,0
11,0
12,0
11,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
13,0
12,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
11,0
11,0
12,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
13,0
12,0
12,0
13,0
12,0
12,0
12,0
11,0
13,0
12,0
12,0
11,0
11,0
11,0
12,0
13,0
11,0
12,0
11,0
12,0
11,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
12,0
12,0
11,0
12,0
13,0
12,0
12,0
12,0
11,0
13,0
11,0
12,0
12,0
13,0
11,0
11,0
11,0
12,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
12,0
12,0
12,0
12,0
13,0
11,0
11,0
13,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
11,0
12,0
12,0
11,0
11,0
13,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
12,0
11,0
12,0
13,0
12,0
12,0
11,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
12,0
12,0
13,0
12,0
12,0
12,0
13,0
13,0
12,0
13,0
13,0
13,0
12,0
11,0
12,0
12,0
11,0
13,0
12,0
11,0
13,0
11,0
11,0
12,0
12,0
13,0
12,0
12,0
12,0
12,0
12,0
13,0
12,0
11,0
12,0
11,0
11,0
12,0
11,0
12,0
13,0
11,0
11,0
12,0
13,0
12,0
11,0
12,0
12,0
13,0
13,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
11,0
11,0
10,0
12,0
12,0
12,0
12,0
12,0
11,0
11,0
12,0
13,0
13,0
12,0
12,0
13,0
11,0
10,0
11,0
13,0
15,0
13,0
13,0
12,0
11,0
12,0
13,0
12,0
13,0
12,0
13,0
10,0
12,0
11,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
11,0
11,0
12,0
12,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
11,0
14,0
14,0
13,0
11,0
11,0
12,0
11,0
12,0
12,0
10,0
11,0
13,0
11,0
12,0
13,0
13,0
10,0
9,0
10,0
12,0
14,0
16,0
14,0
12,0
11,0
11,0
18,0
17,0
19,0
20,0
29,0
23,0
22,0
23,0
21,0
20,0
17,0
17,0
16,0
16,0
15,0
14,0
12,0
13,0
12,0
13,0
13,0
14,0
13,0
14,0
15,0
15,0
14,0
15,0
18,0
17,0
18,0
18,0
18,0
16,0
16,0
16,0
14,0
11,0
7,0
11,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
12,0
14,0
15,0
15,0
14,0
13,0
14,0
12,0
12,0
12,0
10,0
9,0
8,0
7,0
7,0
10,0
11,0
12,0
13,0
13,0
15,0
16,0
16,0
17,0
17,0
18,0
18,0
17,0
17,0
16,0
15,0
14,0
14,0
14,0
14,0
17,0
18,0
18,0
18,0
18,0
16,0
14,0
12,0
12,0
12,0
12,0
12,0
13,0
14,0
14,0
11,0
8,0
6,0
9,0
11,0
14,0
13,0
13,0
10,0
8,0
8,0
7,0
6,0
6,0
7,0
8,0
9,0
11,0
13,0
12,0
11,0
10,0
9,0
11,0
12,0
13,0
14,0
15,0
15,0
14,0
13,0
14,0
16,0
14,0
15,0
17,0
19,0
21,0
19,0
19,0
19,0
18,0
17,0
18,0
19,0
20,0
20,0
19,0
19,0
16,0
14,0
13,0
13,0
13,0
15,0
14,0
15,0
16,0
15,0
15,0
14,0
14,0
12,0
12,0
12,0
13,0
14,0
14,0
14,0
13,0
13,0
13,0
14,0
14,0
14,0
13,0
13,0
14,0
14,0
15,0
14,0
13,0
14,0
13,0
12,0
13,0
13,0
14,0
14,0
13,0
14,0
13,0
12,0
13,0
12,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
13,0
13,0
14,0
13,0
14,0
14,0
14,0
14,0
14,0
13,0
14,0
13,0
14,0
14,0
12,0
13,0
13,0
13,0
13,0
13,0
14,0
13,0
12,0
13,0
12,0
12,0
13,0
12,0
13,0
13,0
13,0
12,0
13,0
12,0
13,0
12,0
13,0
13,0
14,0
13,0
14,0
12,0
14,0
13,0
14,0
14,0
14,0
13,0
13,0
12,0
13,0
12,0
12,0
13,0
13,0
13,0
13,0
13,0
14,0
13,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
13,0
12,0
13,0
13,0
14,0
13,0
13,0
13,0
