a,p
14,0
14,0
14,0
14,0
15,0
16,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
17,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
15,0
16,0
15,0
16,0
15,0
15,0
15,0
16,0
16,0
16,0
16,0
16,0
15,0
16,0
15,0
16,0
16,0
15,0
16,0
16,0
16,0
16,0
15,0
17,0
17,0
17,0
18,0
17,0
16,0
17,0
18,0
17,0
17,0
16,0
17,0
17,0
16,0
15,0
15,0
16,0
16,0
16,0
16,0
15,0
14,0
14,0
14,0
13,0
14,0
15,0
15,0
16,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
14,0
14,0
14,0
14,0
14,0
28,0
24,0
18,0
17,0
16,0
13,0
13,0
12,0
12,0
13,0
12,0
12,0
12,0
11,0
12,0
11,0
11,0
13,0
20,0
19,0
19,0
19,0
17,0
16,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
13,0
14,0
14,0
13,0
14,0
15,0
16,0
17,0
19,0
17,0
17,0
17,0
17,0
16,0
15,0
15,0
14,0
16,0
16,0
14,0
15,0
15,0
15,0
16,0
16,0
17,0
16,0
17,0
17,0
17,0
16,0
16,0
16,0
14,0
13,0
13,0
13,0
14,0
13,0
13,0
13,0
13,0
14,0
16,0
16,0
17,0
15,0
13,0
12,0
14,0
15,0
16,0
15,0
15,0
14,0
13,0
13,0
14,0
14,0
14,0
15,0
13,0
13,0
13,0
13,0
14,0
16,0
17,0
19,0
19,0
18,0
16,0
12,0
11,0
12,0
13,0
13,0
9,0
17,0
18,0
19,0
19,0
17,0
14,0
14,0
11,0
10,0
10,0
11,0
12,0
12,0
13,0
14,0
15,0
16,0
7,0
14,0
17,0
16,0
16,0
16,0
17,0
18,0
18,0
17,0
18,0
17,0
16,0
13,0
14,0
14,0
15,0
15,0
13,0
12,0
12,0
13,0
41,10
12,0
14,0
24,0
14,0
14,0
13,0
13,0
14,0
13,0
13,0
13,0
15,0
16,0
16,0
17,0
16,0
15,0
14,0
13,0
12,0
12,0
13,0
13,0
13,0
14,0
14,0
15,0
16,0
15,0
15,0
14,0
13,0
12,0
10,0
11,0
14,0
15,0
16,0
15,0
15,0
16,0
16,0
16,0
17,0
17,0
18,0
19,0
19,0
18,0
17,0
19,0
18,0
18,0
16,0
15,0
13,0
12,0
13,0
14,0
16,0
17,0
19,0
20,0
20,0
19,0
16,0
17,0
16,0
16,0
15,0
14,0
13,0
14,0
13,0
12,0
10,0
13,0
13,0
13,0
14,0
14,0
13,0
11,0
11,0
10,0
12,0
16,0
18,0
19,0
19,0
19,0
19,0
20,0
19,0
18,0
18,0
16,0
15,0
16,0
15,0
15,0
15,0
15,0
15,0
16,0
16,0
16,0
14,0
14,0
13,0
13,0
12,0
12,0
12,0
14,0
14,0
14,0
15,0
14,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
14,0
14,0
16,0
16,0
17,0
16,0
15,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
11,0
13,0
13,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
16,0
15,0
16,0
15,0
15,0
15,0
15,0
14,0
13,0
18,0
21,0
19,0
17,0
16,0
12,0
10,0
10,0
9,0
9,0
10,0
14,0
16,0
18,0
19,0
19,0
17,0
15,0
14,0
12,0
11,0
13,0
13,0
14,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
16,0
16,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
16,0
17,0
18,0
16,0
16,0
15,0
13,0
12,0
12,0
13,0
18,0
16,0
17,0
17,0
17,0
17,0
16,0
14,0
16,0
14,0
13,0
13,0
13,0
12,0
11,0
12,0
13,0
14,0
14,0
15,0
15,0
14,0
15,0
16,0
15,0
16,0
16,0
16,0
15,0
15,0
14,0
15,0
15,0
14,0
13,0
14,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
13,0
12,0
13,0
14,0
14,0
14,0
15,0
15,0
15,0
16,0
15,0
17,0
16,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
14,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
13,0
14,0
14,0
14,0
15,0
14,0
15,0
14,0
14,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
14,0
15,0
14,0
14,0
13,0
14,0
14,0
14,0
15,0
13,0
14,0
14,0
14,0
15,0
15,0
14,0
15,0
14,0
15,0
14,0
13,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
15,0
15,0
14,0
14,0
14,0
13,0
13,0
13,0
14,0
14,0
14,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
15,0
14,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
16,0
14,0
14,0
14,0
14,0
15,0
15,0
14,0
14,0
14,0
13,0
14,0
14,0
14,0
14,0
15,0
14,0
15,0
14,0
15,0
15,0
14,0
13,0
14,0
13,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
14,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
14,0
13,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
15,0
16,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
15,0
14,0
15,0
14,0
14,0
15,0
14,0
15,0
14,0
16,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
13,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
14,0
15,0
14,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
16,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
